address,community,date,link,price,size,title
民治-宝安龙华二线拓展区人民路和富国路交汇处东南侧,莱蒙水榭春天五期,2023-03-07,https://sz.esf.fang.com/chushou/3_242781944.htm,7990000.0,88.93㎡,"4号线红山【水谢春天】户型方正,使用率很高,朝东看花园的户型"
民治-宝安龙华二线拓展区人民路和富国路交汇处东南侧,莱蒙水榭春天五期,2023-03-07,https://sz.esf.fang.com/chushou/3_242781992.htm,6760000.0,74.74㎡,"【水谢春天】带深高北,精装修两房,业主诚心出售"
沙头角-深盐路2001号,合景同创广场,2023-03-07,https://sz.esf.fang.com/chushou/3_242231327.htm,6280000.0,308.54㎡,一手现房 600万 不用指标 送车位 地铁口物业 看山看海
坂田-布吉镇坂田社区吉华路698号,信义嘉御山,2023-03-07,https://sz.esf.fang.com/chushou/3_242314313.htm,5227000.0,71.8㎡,"嘉御山两房,业主急售低于指导价20万,看房方便"
龙华-人民路与建设路交汇处,鸿荣源·壹成中心,2023-03-07,https://sz.esf.fang.com/chushou/3_242729683.htm,5984000.0,88㎡,"4号线【壹城中心7区】精装4房,业主包增值税,诚心出售!"
公明-别墅路1号,明景园,2023-03-07,https://sz.esf.fang.com/chushou/3_242793474.htm,720000.0,70.55㎡,光明笋盘 首付15万 好转手 好出租 可按揭可议价 随时看房
平湖-融湖中心城一期,融湖中心城一期,2023-03-07,https://sz.esf.fang.com/chushou/3_242652103.htm,3862600.0,89.83㎡,融湖中心城(一期)电梯小区单价较低中间楼层格局通透停车位免费
民治-宝安龙华二线拓展区人民路和富国路交汇处东南侧,莱蒙水榭春天一期,2023-03-07,https://sz.esf.fang.com/chushou/3_242792042.htm,7559000.0,83.52㎡,"看房方便【莱蒙水榭春天】一期精装3房,看花园,4号线地铁线"
梅林-梅坳3路6号,建龙苑,2023-03-07,https://sz.esf.fang.com/chushou/3_242793877.htm,900000.0,85.22㎡,口旁 首付20万 月租月供 好出租 好转手
民治-民治街道(中梅路与腾龙路交汇处),龙光玖钻,2023-03-07,https://sz.esf.fang.com/chushou/3_242747971.htm,4600000.0,96.6㎡,"双地铁,红山CBD,独梯独户,拎包入住"
沙头角-深盐路2001号,合景同创广场,2023-03-07,https://sz.esf.fang.com/chushou/3_242742514.htm,6280000.0,308.54㎡,特批一口价 一手新房 不用指标不限售 送车位 地铁口物业
民治-南屏快速路,星河丹堤,2023-03-07,https://sz.esf.fang.com/chushou/3_242761973.htm,11610000.0,160.81㎡,全湖景单位xi有放盘南北通透全新装修保养好拎包入住好房
民治-南屏快速路,星河丹堤,2023-03-07,https://sz.esf.fang.com/chushou/3_242761786.htm,19245000.0,266.55㎡,【看全山景】大花园靠山面湖 毛坯五层端头别墅 超安静南北通
民治-南屏快速路,星河丹堤,2023-03-07,https://sz.esf.fang.com/chushou/3_242761955.htm,19380000.0,268.42㎡,【星河丹堤E区】豪装大复式 双阳台 南北通透 拎包入住
沙头角-沙头角街道田心东路与恩上路交汇处西南侧,鹏瑞尚府,2023-03-07,https://sz.esf.fang.com/chushou/3_242698232.htm,6800000.0,138㎡,一手新房 精装4房 地铁口物业 大花园社区 南北通透3梯4户
竹子林-宝能城市公馆,宝能城市公馆,2023-03-07,https://sz.esf.fang.com/chushou/3_242761315.htm,13504000.0,108.9㎡,宝能城市公馆婚房3室 采光充足南中间楼层
沙头角-金融路1133号,蓝郡西堤,2023-03-07,https://sz.esf.fang.com/chushou/3_242615769.htm,8453000.0,141.36㎡,"全屋家私赠送,高层海景房,36楼,精装拎包入住,红本满五年"
民治-南屏快速路,星河丹堤,2023-03-07,https://sz.esf.fang.com/chushou/3_242763729.htm,18516000.0,256.45㎡,【星河丹堤】五层带电梯 靠山别墅 急售 看房方便
民治-民治街道(中梅路与腾龙路交汇处),龙光玖钻,2023-03-07,https://sz.esf.fang.com/chushou/3_242747154.htm,7600000.0,131.26㎡,"4号线红山地铁口【龙光玖钻】精装修4房,龙光物业,天虹商圈"
福永-机场路1004号,企岗山花园,2023-03-07,https://sz.esf.fang.com/chushou/3_242793706.htm,730000.0,75.22㎡,直降56万出售 业主包税 口 交通便利 随时看房
龙华-人民路与建设路交汇处,鸿荣源·壹成中心,2023-03-07,https://sz.esf.fang.com/chushou/3_242729367.htm,6030000.0,88.68㎡,4号线龙华地铁站【鸿荣源壹成中心】6区精装四房】诚售看房方便
民治-南屏快速路,星河丹堤,2023-03-07,https://sz.esf.fang.com/chushou/3_242750958.htm,19545000.0,270.71㎡,"6号线地铁口,业主降价急卖,产权优质,看房方便"
民治-南屏快速路,星河丹堤,2023-03-07,https://sz.esf.fang.com/chushou/3_242747945.htm,12395000.0,171.67㎡,"6号线梅林地铁站【星河丹堤】毛坯出售,看房提前预约"
民治-南屏快速路,星河丹堤,2023-03-07,https://sz.esf.fang.com/chushou/3_242769820.htm,6525000.0,90.38㎡,"来电随时看房【星河丹堤】业主诚心出售,精装修3房,看小区园林"
公明-兴发路96号,远恒佳教师公寓,2023-03-07,https://sz.esf.fang.com/chushou/3_242793713.htm,892200.0,82.66㎡,光明笋盘 首付15万 月租月供 直降56万出售 可随时看房
竹子林-宝能城市公馆,宝能城市公馆,2023-03-07,https://sz.esf.fang.com/chushou/3_242761319.htm,10118000.0,81.6㎡,宝能城市公馆配套齐全只有契税无遮挡靠谱急售
竹子林-宝能城市公馆,宝能城市公馆,2023-03-07,https://sz.esf.fang.com/chushou/3_242761313.htm,15905000.0,128.27㎡,宝能城市公馆可做4居128.27平东北朝向视野开阔采光好急售
公明-兴发路96号,远恒佳教师公寓,2023-03-07,https://sz.esf.fang.com/chushou/3_242793865.htm,750000.0,70.22㎡,光明笋盘 可按揭可议价 产权清晰 首付16万 业主急需资金
民治-宝安龙华二线拓展区人民路和富国路交汇处东南侧,莱蒙水榭春天五期,2023-03-07,https://sz.esf.fang.com/chushou/3_242781982.htm,13330000.0,146.53㎡,"看房方便【水榭春天】精装大5房,户型好,看花园,景观好,满五"
西乡-广深路西乡段660号,骏景园,2023-03-07,https://sz.esf.fang.com/chushou/3_242793229.htm,830000.0,51㎡,【深中通道一出口】20到宝安 首付15万 精装红本三房
