date,link,title
2022-10-16,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202210/t20221017_2059682.shtml,2022年10月16日新建商品房网签备案统计情况
2022-10-15,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202210/t20221016_2059150.shtml,2022年10月15日新建商品房网签备案统计情况
2022-10-14,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202210/t20221014_2058901.shtml,2022年10月14日新建商品房网签备案统计情况
2022-10-13,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202210/t20221013_2057805.shtml,2022年10月13日新建商品房网签备案统计情况
2022-10-12,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202210/t20221012_2056843.shtml,2022年10月12日新建商品房网签备案统计情况
2022-10-11,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202210/t20221011_2055876.shtml,2022年10月11日新建商品房网签备案统计情况
2022-10-10,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202210/t20221010_2054968.shtml,2022年10月10日新建商品房网签备案统计情况
2022-10-09,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202210/t20221009_2054268.shtml,2022年10月9日新建商品房网签备案统计情况
2022-10-08,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202210/t20221008_2053408.shtml,2022年10月8日新建商品房网签备案统计情况
2022-10-07,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202210/t20221007_2052717.shtml,2022年10月7日新建商品房网签备案统计情况
2022-10-06,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202210/t20221006_2052459.shtml,2022年10月6日新建商品房网签备案统计情况
2022-10-05,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202210/t20221005_2052261.shtml,2022年10月5日新建商品房网签备案统计情况
2022-10-04,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202210/t20221004_2052157.shtml,2022年10月4日新建商品房网签备案统计情况
2022-10-03,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202210/t20221003_2052080.shtml,2022年10月3日新建商品房网签备案统计情况
2022-10-02,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202210/t20221012_2056705.shtml,2022年10月2日新建商品房网签备案统计情况
2022-10-01,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202210/t20221001_2051924.shtml,2022年10月1日新建商品房网签备案统计情况
2022-09-30,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202209/t20220930_2051635.shtml,2022年9月30日新建商品房网签备案统计情况
2022-09-29,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202209/t20220929_2050474.shtml,2022年9月29日新建商品房网签备案统计情况
2022-09-28,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202209/t20220928_2049574.shtml,2022年9月28日新建商品房网签备案统计情况
2022-09-27,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202209/t20220927_2048842.shtml,2022年9月27日新建商品房网签备案统计情况
2023-02-13,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202302/t20230213_2151442.shtml,2023年2月13日新建商品房网签备案统计情况
2023-02-12,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202302/t20230212_2150658.shtml,2023年2月12日新建商品房网签备案统计情况
2023-02-11,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202302/t20230211_2150551.shtml,2023年2月11日新建商品房网签备案统计情况
2023-02-10,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202302/t20230210_2150142.shtml,2023年2月10日新建商品房网签备案统计情况
2023-02-09,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202302/t20230209_2149253.shtml,2023年2月9日新建商品房网签备案统计情况
2023-02-08,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202302/t20230208_2148661.shtml,2023年2月8日新建商品房网签备案统计情况
2023-02-07,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202302/t20230207_2147579.shtml,2023年2月7日新建商品房网签备案统计情况
2023-02-06,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202302/t20230206_2146786.shtml,2023年2月6日新建商品房网签备案统计情况
2023-02-05,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202302/t20230205_2145994.shtml,2023年2月5日新建商品房网签备案统计情况
2023-02-04,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202302/t20230205_2145881.shtml,2023年2月4日新建商品房网签备案统计情况
2023-02-03,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202302/t20230203_2145489.shtml,2023年2月3日新建商品房网签备案统计情况
2023-02-02,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202302/t20230202_2144272.shtml,2023年2月2日新建商品房网签备案统计情况
2023-02-01,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202302/t20230201_2143206.shtml,2023年2月1日新建商品房网签备案统计情况
2023-01-31,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202301/t20230131_2142335.shtml,2023年1月31日新建商品房网签备案统计情况
2023-01-30,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202301/t20230130_2141170.shtml,2023年1月30日新建商品房网签备案统计情况
2023-01-29,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202301/t20230129_2140333.shtml,2023年1月29日新建商品房网签备案统计情况
2023-01-28,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202301/t20230128_2139558.shtml,2023年1月28日新建商品房网签备案统计情况
2023-01-27,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202301/t20230127_2138923.shtml,2023年1月27日新建商品房网签备案统计情况
2023-01-26,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202301/t20230126_2138852.shtml,2023年1月26日新建商品房网签备案统计情况
2023-01-25,http://fgj.wuhan.gov.cn/xxgk/xxgkml/sjfb/mrxjspfcjtjqk/202301/t20230125_2138782.shtml,2023年1月25日新建商品房网签备案统计情况
