date,house,housecode,link,price,region,size,title
2023-03-09,古田,104110183325,https://wh.lianjia.com/ershoufang/104110183325.html,88.0,天勤花园 ,88.62,该房老证 税费少 南北通风格局  板式结构 .
2023-03-09,百步亭,104110250580,https://wh.lianjia.com/ershoufang/104110250580.html,180.0,幸福时代三期 ,93.64,幸福时代精装三房 凤凰楼层视野采光好 老证 业主急卖
2023-03-09,杨汊湖,104110232323,https://wh.lianjia.com/ershoufang/104110232323.html,145.0,绿色家园 ,106.69,中间楼层 户型通透 采光好 业主诚心出售 看房方便
2023-03-09,堤角,104110240510,https://wh.lianjia.com/ershoufang/104110240510.html,149.5,佰昌公馆B区 ,105.98,5年内次新房~毛坯~老证~诚心出售~随时看房~价格可谈
2023-03-09,金融港,104110216725,https://wh.lianjia.com/ershoufang/104110216725.html,285.0,万科红郡 ,89.21,万科红郡 精装小三房 自住房  满2年 保养新
2023-03-09,关山大道,104110265126,https://wh.lianjia.com/ershoufang/104110265126.html,319.0,长城坐标城 ,144.11,长城坐标城，南北大露台，两证满五，无贷款，随时可看
2023-03-09,青山,104110242920,https://wh.lianjia.com/ershoufang/104110242920.html,123.0,绿地香树花城派克公馆 ,98.41,此房是毛坯三房朝南的户型，小区配套齐全，交通便利
2023-03-09,金银湖,104110243902,https://wh.lianjia.com/ershoufang/104110243902.html,78.8,沿海赛洛城 ,85.46,沿海赛洛城电梯好楼层 诚心出售！
2023-03-09,金银湖,104110254224,https://wh.lianjia.com/ershoufang/104110254224.html,122.0,融创观澜壹号 ,103.36,产证满二、无抵押、精装修交付未入住过、急售
2023-03-09,光谷南,104110237593,https://wh.lianjia.com/ershoufang/104110237593.html,181.5,烽云慧城 ,112.63,毛坯满二、南北边户出售、随时看房
2023-03-09,虎泉杨家湾,104110273345,https://wh.lianjia.com/ershoufang/104110273345.html,340.0,保利华都 ,110.19,杨家湾地铁口 满二  精装三房 可直接入住 有车位
2023-03-09,纸坊,104110236696,https://wh.lianjia.com/ershoufang/104110236696.html,103.0,南郡帝苑 ,91.63,楼上楼下功能分明，出行读书生活都便利，你想要的都有
2023-03-09,光谷广场,104110263575,https://wh.lianjia.com/ershoufang/104110263575.html,228.0,米兰映象 ,108.09,光谷广场精装三房，满五年税费少，交通便利生活方便
2023-03-09,七里庙,104110248191,https://wh.lianjia.com/ershoufang/104110248191.html,200.0,阳城景园 ,152.98,地铁口三房，一梯两户板式楼，南北通透采光好
2023-03-09,白沙洲,104110236283,https://wh.lianjia.com/ershoufang/104110236283.html,159.0,新鑫佳苑 ,132.09,新鑫佳苑小区电梯房三房两厅两卫满五出售
2023-03-09,白沙洲,104110227115,https://wh.lianjia.com/ershoufang/104110227115.html,110.0,湘龙鑫城 ,108.7,店长推荐小区中间位置满二大三房采光好
2023-03-09,长港路,104110246638,https://wh.lianjia.com/ershoufang/104110246638.html,260.0,万科汉口传奇悦庭 ,121.05,万科汉口传奇悦庭精装三房业主诚心出售
2023-03-09,徐东,104110249890,https://wh.lianjia.com/ershoufang/104110249890.html,262.0,正堂山外山 ,91.28,4/8双地铁口，正堂山外山，全新自住精装，客厅带阳台
2023-03-09,光谷东,104110260052,https://wh.lianjia.com/ershoufang/104110260052.html,288.0,统建天成美景 ,128.36,小区大三房两卫户型，边户采光好，可拎包入住
2023-03-09,中北路,104110245078,https://wh.lianjia.com/ershoufang/104110245078.html,450.0,复地东湖国际二期 ,93.32,复地二期 南向小三房 高楼层日照采光好 产证满二
2023-03-09,唐家墩,104110246494,https://wh.lianjia.com/ershoufang/104110246494.html,265.0,万科汉口传奇唐樾 ,113.04,万科汉口传奇唐樾精装三房业主诚心出售
2023-03-09,四新,104110242235,https://wh.lianjia.com/ershoufang/104110242235.html,188.0,招商公园1872御府 ,116.48,通透户型，前面没遮挡，采光好！
2023-03-09,沌口,104110263550,https://wh.lianjia.com/ershoufang/104110263550.html,85.0,实地君兰汀岸 ,104.57,精装交付，可直接入住。绿化好，一线看江
2023-03-09,白沙洲,104110281254,https://wh.lianjia.com/ershoufang/104110281254.html,98.0,青菱城市花园一期 ,89.66,青菱小洋房，电梯中间楼层，不临街，产证满5年
2023-03-09,百步亭,104110239833,https://wh.lianjia.com/ershoufang/104110239833.html,180.0,万锦江城 ,82.93,万锦江城南向两房 中间楼层 采光视野好
2023-03-09,中南丁字桥,104110257883,https://wh.lianjia.com/ershoufang/104110257883.html,310.0,省建设厅宿舍 ,109.9,中南路14号双地铁口 单价2.8万学府房，位置好，价格低
2023-03-09,盘龙城,104110216555,https://wh.lianjia.com/ershoufang/104110216555.html,99.0,恒大龙城 ,128.34,精装修大三房，次新小区，老证无贷
2023-03-09,百步亭,104110167050,https://wh.lianjia.com/ershoufang/104110167050.html,215.0,福星惠誉榜YOUNG ,104.62,福星惠誉榜样 精装修 三房 客厅带阳台没住过
2023-03-09,王家湾,104110244492,https://wh.lianjia.com/ershoufang/104110244492.html,202.0,保利香颂一期 ,122.61,店长推荐，房子老证好户型，房东诚心卖，，，
2023-03-09,后湖,104110201723,https://wh.lianjia.com/ershoufang/104110201723.html,178.0,鼎盛华城 ,89.39,地铁口 精装三房 得10平面积 小区中间
2023-03-09,古田,104110183325,https://wh.lianjia.com/ershoufang/104110183325.html,88.0,天勤花园 ,88.62,该房老证 税费少 南北通风格局  板式结构 .
2023-03-09,百步亭,104110250580,https://wh.lianjia.com/ershoufang/104110250580.html,180.0,幸福时代三期 ,93.64,幸福时代精装三房 凤凰楼层视野采光好 老证 业主急卖
2023-03-09,杨汊湖,104110232323,https://wh.lianjia.com/ershoufang/104110232323.html,145.0,绿色家园 ,106.69,中间楼层 户型通透 采光好 业主诚心出售 看房方便
2023-03-09,金融港,104110216725,https://wh.lianjia.com/ershoufang/104110216725.html,285.0,万科红郡 ,89.21,万科红郡 精装小三房 自住房  满2年 保养新
2023-03-09,堤角,104110240510,https://wh.lianjia.com/ershoufang/104110240510.html,149.5,佰昌公馆B区 ,105.98,5年内次新房~毛坯~老证~诚心出售~随时看房~价格可谈
2023-03-09,金银湖,104110243902,https://wh.lianjia.com/ershoufang/104110243902.html,78.8,沿海赛洛城 ,85.46,沿海赛洛城电梯好楼层 诚心出售！
2023-03-09,金银湖,104110254224,https://wh.lianjia.com/ershoufang/104110254224.html,122.0,融创观澜壹号 ,103.36,产证满二、无抵押、精装修交付未入住过、急售
2023-03-09,关山大道,104110265126,https://wh.lianjia.com/ershoufang/104110265126.html,319.0,长城坐标城 ,144.11,长城坐标城，南北大露台，两证满五，无贷款，随时可看
2023-03-09,青山,104110242920,https://wh.lianjia.com/ershoufang/104110242920.html,123.0,绿地香树花城派克公馆 ,98.41,此房是毛坯三房朝南的户型，小区配套齐全，交通便利
2023-03-09,光谷南,104110237593,https://wh.lianjia.com/ershoufang/104110237593.html,181.5,烽云慧城 ,112.63,毛坯满二、南北边户出售、随时看房
2023-03-09,虎泉杨家湾,104110273345,https://wh.lianjia.com/ershoufang/104110273345.html,340.0,保利华都 ,110.19,杨家湾地铁口 满二  精装三房 可直接入住 有车位
2023-03-09,纸坊,104110236696,https://wh.lianjia.com/ershoufang/104110236696.html,103.0,南郡帝苑 ,91.63,楼上楼下功能分明，出行读书生活都便利，你想要的都有
2023-03-09,光谷广场,104110263575,https://wh.lianjia.com/ershoufang/104110263575.html,228.0,米兰映象 ,108.09,光谷广场精装三房，满五年税费少，交通便利生活方便
2023-03-09,七里庙,104110248191,https://wh.lianjia.com/ershoufang/104110248191.html,200.0,阳城景园 ,152.98,地铁口三房，一梯两户板式楼，南北通透采光好
2023-03-09,白沙洲,104110227115,https://wh.lianjia.com/ershoufang/104110227115.html,110.0,湘龙鑫城 ,108.7,店长推荐小区中间位置满二大三房采光好
